datetime,open,high,low,close,volume
2019-05-30T05:00:00.000000000Z,0.8817,0.88224,0.8808,0.88175,2179
2019-05-30T09:00:00.000000000Z,0.88178,0.88276,0.88135,0.88212,2423
2019-05-30T13:00:00.000000000Z,0.8821,0.8841,0.88114,0.883,4094
2019-05-30T17:00:00.000000000Z,0.88297,0.88324,0.8824,0.88264,1200
2019-05-30T21:00:00.000000000Z,0.88282,0.88314,0.88234,0.88303,941
2019-05-31T01:00:00.000000000Z,0.88305,0.8833,0.8824,0.88266,578
2019-05-31T05:00:00.000000000Z,0.88268,0.88382,0.88226,0.8837,2661
2019-05-31T09:00:00.000000000Z,0.88372,0.88747,0.8837,0.88663,5598
2019-05-31T13:00:00.000000000Z,0.88661,0.88731,0.88303,0.88387,7167
2019-05-31T17:00:00.000000000Z,0.88384,0.88466,0.88349,0.88418,2352
2019-06-02T21:00:00.000000000Z,0.88396,0.88432,0.88342,0.88394,858
2019-06-03T01:00:00.000000000Z,0.88392,0.88444,0.88376,0.88415,643
2019-06-03T05:00:00.000000000Z,0.88413,0.88453,0.88252,0.88429,3173
2019-06-03T09:00:00.000000000Z,0.88432,0.88707,0.88326,0.88636,3746
2019-06-03T13:00:00.000000000Z,0.88638,0.88848,0.88568,0.88762,4392
2019-06-03T17:00:00.000000000Z,0.8876,0.88879,0.88732,0.88768,3424
2019-06-03T21:00:00.000000000Z,0.88754,0.88849,0.8872,0.88817,3793
2019-06-04T01:00:00.000000000Z,0.88819,0.88873,0.88803,0.88822,657
2019-06-04T05:00:00.000000000Z,0.88819,0.89022,0.88774,0.88898,3481
2019-06-04T09:00:00.000000000Z,0.889,0.88916,0.88574,0.88582,4645
2019-06-04T13:00:00.000000000Z,0.8858,0.88702,0.88523,0.8863,6308
2019-06-04T17:00:00.000000000Z,0.88627,0.88693,0.88574,0.88598,1944
2019-06-04T21:00:00.000000000Z,0.88602,0.8865,0.8859,0.8862,624
2019-06-05T01:00:00.000000000Z,0.88622,0.88652,0.88612,0.88628,503
2019-06-05T05:00:00.000000000Z,0.88626,0.88736,0.88576,0.88712,3066
2019-06-05T09:00:00.000000000Z,0.8871,0.88782,0.88564,0.88688,6099
2019-06-05T13:00:00.000000000Z,0.88686,0.88694,0.88432,0.88528,6951
2019-06-05T17:00:00.000000000Z,0.88526,0.88536,0.88419,0.8847,1716
2019-06-05T21:00:00.000000000Z,0.88462,0.8852,0.88442,0.88508,783
2019-06-06T01:00:00.000000000Z,0.88506,0.88532,0.8848,0.88528,599
2019-06-06T05:00:00.000000000Z,0.88526,0.88661,0.88512,0.88626,2449
2019-06-06T09:00:00.000000000Z,0.88624,0.88756,0.88298,0.88727,9146
2019-06-06T13:00:00.000000000Z,0.88729,0.88907,0.8854,0.88854,7599
2019-06-06T17:00:00.000000000Z,0.88856,0.8889,0.88798,0.88832,2295
2019-06-06T21:00:00.000000000Z,0.88824,0.88846,0.88801,0.88832,593
2019-06-07T01:00:00.000000000Z,0.88834,0.88844,0.88742,0.88744,508
2019-06-07T05:00:00.000000000Z,0.88742,0.88746,0.88561,0.88584,2487
2019-06-07T09:00:00.000000000Z,0.88587,0.88837,0.88498,0.88807,5302
2019-06-07T13:00:00.000000000Z,0.88809,0.89,0.88774,0.8896,6109
2019-06-07T17:00:00.000000000Z,0.88962,0.89013,0.88926,0.88978,1760
2019-06-07T21:00:00.000000000Z,0.88982,0.88986,0.88982,0.88986,2
2019-06-09T21:00:00.000000000Z,0.88922,0.89018,0.88902,0.88964,818
2019-06-10T01:00:00.000000000Z,0.88966,0.88995,0.889,0.88969,658
2019-06-10T05:00:00.000000000Z,0.88967,0.8907,0.88806,0.89028,2693
2019-06-10T09:00:00.000000000Z,0.89025,0.89296,0.89018,0.89216,3299
2019-06-10T13:00:00.000000000Z,0.89219,0.89294,0.89126,0.89183,3895
2019-06-10T17:00:00.000000000Z,0.8918,0.89198,0.89128,0.8917,1795
2019-06-10T21:00:00.000000000Z,0.89182,0.89198,0.89096,0.89178,798
2019-06-11T01:00:00.000000000Z,0.8918,0.89242,0.8917,0.89238,544
2019-06-11T05:00:00.000000000Z,0.89235,0.89326,0.88997,0.8902,2976
2019-06-11T09:00:00.000000000Z,0.89022,0.89164,0.8893,0.89015,4544
2019-06-11T13:00:00.000000000Z,0.89017,0.89076,0.88913,0.89018,5375
2019-06-11T17:00:00.000000000Z,0.8902,0.891,0.89008,0.89022,1384
2019-06-11T21:00:00.000000000Z,0.89026,0.8907,0.89006,0.8905,926
2019-06-12T01:00:00.000000000Z,0.89048,0.89118,0.89038,0.89097,513
2019-06-12T05:00:00.000000000Z,0.891,0.89122,0.8894,0.88942,2187
2019-06-12T09:00:00.000000000Z,0.88944,0.88973,0.88716,0.88846,5240
2019-06-12T13:00:00.000000000Z,0.88848,0.89156,0.88778,0.8903,6878
2019-06-12T17:00:00.000000000Z,0.89032,0.89041,0.88928,0.88952,1804
2019-06-12T21:00:00.000000000Z,0.88928,0.88992,0.88914,0.8895,742
2019-06-13T01:00:00.000000000Z,0.88952,0.89046,0.88938,0.89022,640
2019-06-13T05:00:00.000000000Z,0.89024,0.89196,0.8899,0.89117,2602
2019-06-13T09:00:00.000000000Z,0.89119,0.89145,0.88835,0.8886,3979
2019-06-13T13:00:00.000000000Z,0.88858,0.88982,0.88774,0.88934,4353
2019-06-13T17:00:00.000000000Z,0.88936,0.88976,0.88896,0.88972,1427
2019-06-13T21:00:00.000000000Z,0.8895,0.8899,0.88934,0.8897,1256
2019-06-14T01:00:00.000000000Z,0.88967,0.89,0.8892,0.88936,505
2019-06-14T05:00:00.000000000Z,0.88938,0.89138,0.88909,0.89083,2737
2019-06-14T09:00:00.000000000Z,0.89086,0.89178,0.88992,0.88995,5797
2019-06-14T13:00:00.000000000Z,0.88998,0.89095,0.8891,0.88982,5644
2019-06-14T17:00:00.000000000Z,0.88984,0.89092,0.88957,0.89044,1613
2019-06-16T21:00:00.000000000Z,0.89104,0.89116,0.89008,0.89085,2918
2019-06-17T01:00:00.000000000Z,0.89087,0.89109,0.89046,0.8906,344
2019-06-17T05:00:00.000000000Z,0.89063,0.89168,0.89042,0.89082,1627
2019-06-17T09:00:00.000000000Z,0.8908,0.89256,0.8904,0.89171,2471
2019-06-17T13:00:00.000000000Z,0.89169,0.89457,0.89169,0.89393,2837
2019-06-17T17:00:00.000000000Z,0.89395,0.89513,0.8936,0.89489,1376
2019-06-17T21:00:00.000000000Z,0.89494,0.89524,0.89494,0.89521,361
2019-06-18T01:00:00.000000000Z,0.89524,0.89748,0.89518,0.89616,916
2019-06-18T05:00:00.000000000Z,0.89614,0.89686,0.89285,0.89288,4106
2019-06-18T09:00:00.000000000Z,0.89286,0.8949,0.89218,0.89422,3805
2019-06-18T13:00:00.000000000Z,0.89425,0.89472,0.89143,0.89232,5386
2019-06-18T17:00:00.000000000Z,0.89235,0.89253,0.89107,0.89146,1639
2019-06-18T21:00:00.000000000Z,0.89156,0.89186,0.89084,0.89148,891
2019-06-19T01:00:00.000000000Z,0.8915,0.89164,0.8907,0.89096,584
2019-06-19T05:00:00.000000000Z,0.89094,0.89268,0.89064,0.8911,2179
2019-06-19T09:00:00.000000000Z,0.89108,0.89118,0.88914,0.88975,2269
2019-06-19T13:00:00.000000000Z,0.88973,0.88985,0.88737,0.88772,3731
2019-06-19T17:00:00.000000000Z,0.88774,0.88846,0.8875,0.88794,5547
2019-06-19T21:00:00.000000000Z,0.88814,0.88825,0.88769,0.88817,997
2019-06-20T01:00:00.000000000Z,0.88815,0.8886,0.88794,0.88823,1283
2019-06-20T05:00:00.000000000Z,0.8882,0.88865,0.88728,0.88812,3833
2019-06-20T09:00:00.000000000Z,0.88815,0.89232,0.88802,0.89112,5498
2019-06-20T13:00:00.000000000Z,0.8911,0.8912,0.88786,0.88887,5471
2019-06-20T17:00:00.000000000Z,0.8889,0.88924,0.88856,0.88884,1418
2019-06-20T21:00:00.000000000Z,0.88894,0.88906,0.88861,0.88867,535
2019-06-21T01:00:00.000000000Z,0.88869,0.88948,0.88852,0.88928,728
2019-06-21T05:00:00.000000000Z,0.8893,0.89224,0.88892,0.89172,3771
2019-06-21T09:00:00.000000000Z,0.89174,0.89455,0.89145,0.89426,3229
2019-06-21T13:00:00.000000000Z,0.89424,0.8945,0.89082,0.89252,5194
2019-06-21T17:00:00.000000000Z,0.89254,0.89352,0.89197,0.89216,2509
2019-06-23T21:00:00.000000000Z,0.89233,0.89313,0.89226,0.89294,1573
